a52dec 0.7.4-9
rtmpdump 1:2.4.r96.fa8646d-3
ruby 2.4.2-1
run-parts 4.8.1-1
rxvt-unicode 9.22-5
rxvt-unicode-terminfo 9.22-5
s-nail 14.9.6-1
sbt 1:1.0.2-1
scala 2.12.4-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
scrot 0.8.17-2
sddm 0.17.0-2
sdl 1.2.15-9
sdl2 2.0.7-1
sdl_image 1.2.12-4
sed 4.4-1
semver 5.4.1-1
serf 1.3.9-2
sfml 2.4.2-4
shadow 4.5-3
shared-mime-info 1.9-1
showimage 1.10.1-1
skypeforlinux-bin 5.4.0.1-1
slang 2.3.1a-1
snappy 1.1.7-1
socat 1.7.3.2-2
solid 5.41.0-1
sonnet 5.41.0-1
sound-theme-freedesktop 0.8-2
speedtest-cli 1.0.7-1
speex 1.2.0-1
speexdsp 1.2rc3-2
spotify 1.0.64.407-1
sqlite 3.21.0-1
startup-notification 0.12-5
stylish-haskell 0.8.1.0-26
subversion 1.9.7-3
sudo 1.8.21.p2-1
swi-prolog 7.6.3-1
swig 3.0.12-1
syntax-highlighting 5.41.0-1
sysfsutils 2.1.0-9
systemd 235.38-4
systemd-sysvcompat 235.38-4
t1lib 5.1.2-6
taglib 1.11.1-1
tar 1.29-2
tcl 8.6.7-1
tdb 1.3.15-1
texinfo 6.5-1
the_silver_searcher 2.1.0-1
thin-provisioning-tools 0.7.5-1
threadweaver 5.41.0-1
tk 8.6.7-2
tmux 2.6-1
transmission-gtk 2.92-7
tslib 1.14-1
ttf-dejavu 2.37-1
ttf-hack 3.000-1
tzdata 2017c-1
udisks2 2.7.4-1
uglify-js 3.2.2-1
unzip 6.0-12
upower 0.99.6-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 009-1
util-linux 2.31-2
v4l-utils 1.12.5-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim-runtime 8.0.1389-1
vlc 2.2.7-1
volume_key 0.3.9-5
vte 0.28.2-8
vte-common 0.50.2-1
vulkan-icd-loader 1.0.61.1-1
wayland 1.14.0-1
wayland-protocols 1.12-1
webrtc-audio-processing 0.3-2
wget 1.19.2-1
which 2.21-2
wiredtiger 2.9.3-1
wireless_tools 30.pre9-1
wpa_actiond 1.4-3
wpa_supplicant 1:2.6-11
wxgtk-common 3.0.3.1-9
wxgtk2 3.0.3.1-9
x265 2.5-1
xbitmaps 1.1.1-3
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xclip 0.13-1
xdg-utils 1.1.2-1
xextproto 7.3.0-1
xf86-input-libinput 0.26.0-1
xf86vidmodeproto 2.3.1-3
xfsprogs 4.13.1-1
xineramaproto 1.2.1-3
xkeyboard-config 2.22-1
xmlsec 1.2.25-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
